MakeName,ModelName,CustomerName,CountryName,Cost,RepairsCost,PartsCost,TransportInCost,SalePrice,saledate
Ferrari,F40,Laurent Saint Yves,France,215600,5500,1500,1950,269500,2018-05-15 12:00:00
Ferrari,F50,Capots Reluisants S.A.,France,248000,9250,7900,1950,310000,2018-03-15 12:00:00
Ferrari,Dino,Smooth Rocking Chrome,Italy,156000,9250,750,1950,195000,2018-04-24 12:00:00
Ferrari,360,Smooth Rocking Chrome,Italy,108000,5500,5600,1950,135000,2018-05-25 12:00:00
Ferrari,Daytona,Antonio Maura,Spain,79600,500,1500,750,99500,2018-03-08 12:00:00
Ferrari,Dino,Antonio Maura,Spain,98800,2175,1500,750,123500,2018-03-08 12:00:00
Ferrari,360,El Sport,Spain,102800,3950,2200,1950,128500,2018-07-31 12:00:00
Ferrari,Daytona,Andy Cheshire,United Kingdom,116000,3950,2200,1950,145000,2018-12-31 12:00:00
Ferrari,Mondial,King Leer Cars,United Kingdom,124000,3950,3150,1950,155000,2018-04-10 12:00:00
Ferrari,F50,Stephany Rousso,United States,156000,3950,1500,1950,195000,2018-05-15 12:00:00
Porsche,959,Laurent Saint Yves,France,71600,1490,750,750,89500,2018-05-25 12:00:00
Porsche,928,Alicia Almodovar,Spain,12760,500,500,150,15950,2018-04-02 12:00:00
Porsche,944,Pierre Blanc,United Kingdom,7840,500,750,150,9800,2018-03-19 12:00:00
Lamborghini,400GT,Antonio Maura,Spain,116000,9250,1500,1950,145000,2018-03-08 12:00:00
Lamborghini,Diabolo,Kieran O'Harris,United Kingdom,204000,2000,750,1950,255000,2018-04-09 12:00:00
Aston Martin,DB5,Jacques Mitterand,France,55600,2000,750,750,69500,2018-10-02 12:00:00
Aston Martin,Virage,Ronaldo Bianco,Italy,98800,2000,3150,750,123500,2018-12-05 12:00:00
Aston Martin,DB6,Bravissima!,Italy,66072,1490,750,750,82590,2018-07-31 12:00:00
Aston Martin,DB6,Alicia Almodovar,Spain,36760,500,750,550,45950,2018-04-15 12:00:00
Aston Martin,DB2,YO! Speed!,Spain,42000,500,750,550,52500,2018-04-29 12:00:00
Aston Martin,Vanquish,YO! Speed!,Spain,46080,2000,1500,550,57600,2018-08-01 12:00:00
Aston Martin,DB9,Screamin' Wheels,United States,52360,500,1500,750,65450,2018-01-02 12:00:00
Aston Martin,DB9,Screamin' Wheels,United States,44000,500,750,550,55000,2018-04-15 12:00:00
Aston Martin,DB9,Stephany Rousso,United States,44000,1360,1500,550,55000,2018-07-31 12:00:00
Aston Martin,Virage,Stephany Rousso,United States,36000,1360,750,550,45000,2018-08-01 12:00:00
Aston Martin,DB2,Silver HubCaps,United Kingdom,50000,500,750,550,62500,2018-01-02 12:00:00
Aston Martin,DB4,King Leer Cars,United Kingdom,45480,500,1500,550,56850,2018-01-02 12:00:00
Aston Martin,DB9,Theo Kowalski,United States,45520,1360,500,550,56900,2018-03-08 12:00:00
Aston Martin,DB9,Jason B. Wight,United States,47600,500,500,550,59500,2018-12-05 12:00:00
Aston Martin,Vanquish,Stephany Rousso,United States,45592,970,750,550,56990,2018-10-31 12:00:00
Aston Martin,DB6,Jayden Jones,United States,90872,500,750,750,113590,2018-08-01 12:00:00
Aston Martin,Virage,Mr. Evan Telford,United Kingdom,58000,2175,1500,750,72500,2018-07-25 12:00:00
Aston Martin,Virage,ImpressTheNeighbours.Com,United Kingdom,80000,500,750,750,100000,2018-04-20 12:00:00
Aston Martin,Vantage,Pierre Blanc,United Kingdom,82000,2175,1500,750,102500,2018-08-01 12:00:00
Aston Martin,DB4,Clubbing Cars,United Kingdom,45560,500,1500,550,56950,2018-01-02 12:00:00
Aston Martin,DB4,Honest Pete Motors,United Kingdom,34000,2000,750,550,42500,2018-01-02 12:00:00
Aston Martin,DB2,Executive Motor Delight,United Kingdom,79992,2000,750,750,99990,2018-07-05 12:00:00
Aston Martin,DB9,Expensive Shine,United Kingdom,49240,660,750,550,61550,2018-08-11 12:00:00
Aston Martin,Virage,Steve Docherty,United Kingdom,44000,1360,1500,550,55000,2018-08-15 12:00:00
Aston Martin,DB6,Beltway Prestige Driving,United Kingdom,35908,2000,750,550,44885,2018-04-20 12:00:00
Aston Martin,DB6,Boris Spry,United Kingdom,43600,970,750,550,54500,2018-12-08 12:00:00
Aston Martin,DB9,Andrea Tarbuck,United Kingdom,79600,1490,750,750,99500,2018-12-08 12:00:00
Aston Martin,DB2,Mr. Evan Telford,United Kingdom,31600,970,750,550,39500,2018-08-10 12:00:00
Bentley,Flying Spur,SuperSport S.A.R.L.,France,58000,1490,750,750,72500,2018-09-01 12:00:00
Bentley,Brooklands,Capots Reluisants S.A.,France,151600,500,1500,1950,189500,2018-02-17 12:00:00
Bentley,Mulsanne,Rodolph Legler,Germany,79600,2000,750,750,99500,2018-08-16 12:00:00
Bentley,Flying Spur,Glittering Prize Cars Ltd,United Kingdom,45560,2000,500,550,56950,2018-01-10 12:00:00
Bentley,Mulsanne,Convertible Dreams,United Kingdom,45560,970,750,550,56950,2018-09-01 12:00:00
Bentley,Continental,King Leer Cars,United Kingdom,79600,500,750,750,99500,2018-06-23 12:00:00
Bentley,Continental,Screamin' Wheels,United States,71600,1490,750,750,89500,2018-09-01 12:00:00
Rolls Royce,Silver Seraph,M. Pierre Dubois,France,96000,2175,750,750,120000,2018-02-10 12:00:00
Rolls Royce,Ghost,Boris Spry,United Kingdom,79160,1490,750,750,98950,2018-02-17 12:00:00
Rolls Royce,Phantom,Sondra Horowitz,United States,146000,5500,1500,1950,182500,2018-02-12 12:00:00
